"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 13:20:31 GMT 2025","Wed Aug 27 13:20:31 GMT 2025","344","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Wed Aug 27 13:20:30 GMT 2025","Wed Aug 27 13:20:31 GMT 2025","346","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"passed","Wed Aug 27 13:20:33 GMT 2025","Wed Aug 27 13:20:33 GMT 2025","337","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"passed","Wed Aug 27 13:20:31 GMT 2025","Wed Aug 27 13:20:31 GMT 2025","347","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"passed","Wed Aug 27 13:20:34 GMT 2025","Wed Aug 27 13:20:34 GMT 2025","332","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Wed Aug 27 13:20:33 GMT 2025","Wed Aug 27 13:20:33 GMT 2025","209","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"failed","Wed Aug 27 13:20:35 GMT 2025","Wed Aug 27 13:20:35 GMT 2025","328","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Wed Aug 27 13:20:32 GMT 2025","Wed Aug 27 13:20:32 GMT 2025","343","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"passed","Wed Aug 27 13:20:30 GMT 2025","Wed Aug 27 13:20:30 GMT 2025","819","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"failed","Wed Aug 27 13:20:34 GMT 2025","Wed Aug 27 13:20:34 GMT 2025","210","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Wed Aug 27 13:20:31 GMT 2025","Wed Aug 27 13:20:32 GMT 2025","351","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"passed","Wed Aug 27 13:20:33 GMT 2025","Wed Aug 27 13:20:33 GMT 2025","345","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Wed Aug 27 13:20:32 GMT 2025","Wed Aug 27 13:20:32 GMT 2025","340","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"failed","Wed Aug 27 13:20:34 GMT 2025","Wed Aug 27 13:20:35 GMT 2025","329","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"failed","Wed Aug 27 13:20:33 GMT 2025","Wed Aug 27 13:20:34 GMT 2025","210","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Wed Aug 27 13:20:24 GMT 2025","Wed Aug 27 13:20:30 GMT 2025","5510","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Wed Aug 27 13:20:32 GMT 2025","Wed Aug 27 13:20:33 GMT 2025","74","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
